time,p1_x,p1_y,p1_v,p1_theta,p1_a,p1_omega,p2_x,p2_y,p2_v,p2_theta,p2_a,p2_omega,p3_x,p3_y,p3_v,p3_theta,p3_a,p3_omega
0.0,0.5,-2.5,0.4000000059604645,1.670796275138855,2.74963116645813,0.8292994499206543,0.5,-1.5,0.30000001192092896,1.5707963705062866,0.12464102357625961,4.4482285943558963e-07,-0.5,2.5,0.30000001192092896,-1.5707963705062866,2.5764858722686768,-0.0989297479391098
0.1,0.4922359585762024,-2.4468307495117188,0.674963116645813,1.7537262439727783,2.5921285152435303,0.6937280893325806,0.5,-1.469376802444458,0.3124641180038452,1.5707963705062866,0.10014898329973221,3.933067773687071e-07,-0.5002333521842957,2.457118272781372,0.5576485991477966,-1.5806893110275269,2.2606265544891357,-0.0913519412279129
0.2,0.4747222661972046,-2.368319511413574,0.934175968170166,1.8230990171432495,2.4095005989074707,0.5213953852653503,0.5,-1.4376296997070312,0.3224790096282959,1.5707963705062866,0.07910481840372086,3.512873263389338e-07,-0.5012203454971313,2.3900578022003174,0.7837112545967102,-1.5898245573043823,1.9664859771728516,-0.08262171596288681
0.30000000000000004,0.4456440210342407,-2.2669546604156494,1.175126075744629,1.8752385377883911,2.190335512161255,0.32273924350738525,0.5,-1.4049862623214722,0.33038949966430664,1.5707963705062866,0.06105561926960945,3.195562499058724e-07,-0.5032764077186584,2.3018784523010254,0.9803598523139954,-1.5980867147445679,1.6934858560562134,-0.07353977859020233
0.4,0.4051086902618408,-2.145059108734131,1.3941596746444702,1.9075124263763428,1.9631617069244385,0.11273720860481262,0.5,-1.371641993522644,0.3364950716495514,1.5707963705062866,0.04560757800936699,2.986828064877045e-07,-0.5065844058990479,2.1954267024993896,1.1497085094451904,-1.6054407358169556,1.440981388092041,-0.06443866342306137
0.5,0.3549938201904297,-2.0044946670532227,1.5904759168624878,1.9187861680984497,1.6986507177352905,-0.09112755954265594,0.5,-1.3377645015716553,0.34105584025382996,1.5707963705062866,0.032418329268693924,2.8358468284750415e-07,-0.5112173557281494,2.0733389854431152,1.2938066720962524,-1.611884593963623,1.2082754373550415,-0.055325184017419815
0.6000000000000001,0.2985914647579193,-1.8467336893081665,1.7603410482406616,1.9096734523773193,1.4168779850006104,-0.28351935744285583,0.5,-1.3034968376159668,0.3442976772785187,1.5707963705062866,0.021190155297517776,2.6896381655205914e-07,-0.5171598792076111,1.9380475282669067,1.4146342277526855,-1.6174170970916748,0.9946268200874329,-0.04599414020776749
0.7000000000000001,0.24020566046237946,-1.673179030418396,1.9020289182662964,1.8813215494155884,1.1100842952728271,-0.43511873483657837,0.5,-1.2689610719680786,0.3464166820049286,1.5707963705062866,0.011664297431707382,2.5477959297859343e-07,-0.5243245959281921,1.7917864322662354,1.514096975326538,-1.6220165491104126,0.7992626428604126,-0.03611331805586815
0.8,0.184503436088562,-1.4855341911315918,2.0130374431610107,1.837809681892395,0.7772994637489319,-0.5393487215042114,0.5,-1.2342610359191895,0.3475831151008606,1.5707963705062866,0.0036157872527837753,2.409794603863702e-07,-0.5325636863708496,1.636599063873291,1.5940232276916504,-1.625627875328064,0.6213881373405457,-0.02528565004467964
0.9,0.1357598602771759,-1.286243200302124,2.0907673835754395,1.7838748693466187,0.4664573073387146,-0.5951864123344421,0.5,-1.1994845867156982,0.3479447066783905,1.5707963705062866,-0.003150906413793564,2.274828005965901e-07,-0.5416762828826904,1.4743455648422241,1.6561620235443115,-1.6281564235687256,0.46019434928894043,-0.013094590045511723
