Time,x,y,z,yaw,yaw_rate,vx,vy,vz,velocity
1751399991.3077447,-3.130533935674617,0.9964193719784606,0.058180045748737336,0.015615366753660865,0.0003851940157930488,-0.0002985236632557786,0.013490931930659755,0.0012324063948541963,0.013494234351574697
1751399991.3166907,-3.130533935674617,0.9964193719784606,0.058180045748737336,0.015615366753660865,0.0003330163981254405,0.005236413636877657,-0.0020019237138346746,-0.005706417013637971,0.005606043732659593
1751399991.3378673,-3.1306933313205945,0.9964718037841317,0.05804136064827911,0.014778808993288178,0.0001715054500396214,0.011715206354701024,-0.0031582136845953457,-0.013418659456817389,0.012133440304002513
1751399991.338252,-3.1306933313205945,0.9964718037841317,0.05804136064827911,0.014778808993288178,-0.0008328418887525122,-0.016785873803337736,0.003213576716276645,0.001643790363908132,0.01709071779221035
1751399991.349044,-3.1309012807138084,0.9965681293588767,0.05814066349288757,0.015135386023054637,0.00036438042525719977,-0.020794939321389094,0.009632557474503756,0.009930284460846206,0.022917584185072223
1751399991.3599057,-3.130657033201858,0.9964524071527814,0.05820699270344607,0.014995073655125308,-0.00014703649552719474,0.024424751195040173,-0.011572220609534778,0.006632921055849811,0.027027481584035125
1751399991.3683605,-3.1308362391999447,0.9964703582449701,0.05817598748737367,0.014321923233023958,-0.0006745156357410847,-0.017920599808673998,0.0017951092188717155,-0.003100521607240364,0.018010283579397764
1751399991.3873947,-3.130757284946011,0.9965296746062113,0.058119722784667864,0.015006728054725046,0.0005296112898961293,0.016877905679280047,-0.007909320584009727,-0.006148121223893688,0.018639234217620468
1751399991.3879836,-3.130757284946011,0.9965296746062113,0.058119722784667864,0.015006728054725046,0.000163347660021396,-0.00898248028589066,0.013840956708133234,0.0005216509533133296,0.016500213170830027
1751399991.3971424,-3.130770397211148,0.9965355952464446,0.05813525918435969,0.015153887554817782,0.0001467092927700117,-0.0013112265137227297,0.0005920640233303409,0.0015536399691824798,0.001438698987978922
1751399991.4070394,-3.1308794253909435,0.996534161309267,0.05816288533360444,0.01515055394819414,-4.201612111080194e-06,-0.010902817979552282,-0.00014339371776639354,0.002762614924475132,0.010903760894918017
1751399991.4185781,-3.130487269463997,0.9965620647994956,0.058347983152878244,0.016695043869050418,0.00155820588751714,0.03921559269466357,0.0027903490228631256,0.01850978192738037,0.03931473970488859
1751399991.428342,-3.1309349806343576,0.9966778496677703,0.058354369436303656,0.016380140510990963,-0.0003092402470916744,-0.04477111703606873,0.011578486827468204,0.0006386283425412198,0.04624407289449339
1751399991.4372282,-3.130767755403325,0.9965598008571855,0.05829207917033357,0.015143726197288121,-0.001248563661305405,0.016722523103274156,-0.01180488105847477,-0.00622902659700858,0.020469440533250397
1751399991.447048,-3.130624314264066,0.9964749053549538,0.0582269386403195,0.014554977938479506,-0.0005901267612979832,0.014344113925890412,-0.008489550223178544,-0.006514053001407255,0.016668115289701895
1751399991.4571784,-3.1307420365598304,0.9964971486626523,0.058294015737583645,0.014405039939952236,-0.00014883079857904677,-0.011772229576445525,0.0022243307698510684,0.0067077097264146845,0.011980527391323182
1751399991.4669456,-3.1300604601873077,0.996396728220868,0.05828720632619915,0.01275731331561201,-0.0016530113793788582,0.0681576372522752,-0.010042044178426579,-0.0006809411384492425,0.06889344066813766
1751399991.4875379,-3.1282812129805353,0.9962731276501862,0.05818470364134218,0.013070539280241267,-0.0012880160044701778,0.109236506268795,-0.009830155445189614,-0.01186885287857986,0.10967792055782732
1751399991.4894807,-3.1282812129805353,0.9962731276501862,0.05818470364134218,0.013070539280241267,0.0015736436659987666,0.06868821440844108,-0.0025299016229940463,0.001618584392882455,0.06873478886882538
1751399991.4972825,-3.1277538349813874,0.9963578013402299,0.0581351171408137,0.013071045151744558,6.452561771852452e-06,0.05273779991479266,0.008467369004372394,-0.004958650052847707,0.05341321819277426
1751399991.5070162,-3.126298854172615,0.9962274430207388,0.058196602392117505,0.012149019088599803,-0.0009235377286458865,0.1454980808772266,-0.013035831949104182,0.006148525130380417,0.14608088325842386
1751399991.5275595,-3.1227055513303132,0.9963532629303065,0.058381172045190964,0.013062221658440154,-0.0001950758863085867,0.18903372545833186,-0.008484516043094636,0.01079857502735218,0.18922403751411054
1751399991.5294247,-3.1227055513303132,0.9963532629303065,0.058381172045190964,0.013062221658440154,0.0011040091953843166,0.17029655877185412,0.021066506999856127,0.00765839027999371,0.17159462592607774
1751399991.5474918,-3.11805901629637,0.9967296641158068,0.05857405941825649,0.014312576699558812,0.0010399743675107594,0.22760972476350005,0.016491805442064855,0.009059004210729832,0.22820641194684949
1751399991.5493412,-3.11805901629637,0.9967296641158068,0.05857405941825649,0.014312576699558812,0.00017041678681642793,0.23704377863080772,0.021148313107965944,0.01022973309582273,0.23798530235055262
1751399991.5676272,-3.1122609819447056,0.9975953392451148,0.05881457124728472,0.021891744343715176,0.0026407587002509835,0.2813157959242307,0.030196476780142145,0.007992546018922853,0.28293180140524515
1751399991.5693343,-3.1122609819447056,0.9975953392451148,0.05881457124728472,0.021891744343715176,0.004953823815699793,0.29848763924222865,0.05637103615065975,0.016058636883900523,0.30376399473456006
1751399991.5874326,-3.1057743984943884,0.9989479965131424,0.05879385837719661,0.031931070566318207,0.005119354759831923,0.30769906652210466,0.06358957451706448,-0.005142228567746321,0.3142011290970099
1751399991.589064,-3.1057743984943884,0.9989479965131424,0.05879385837719661,0.031931070566318207,0.004930114314044239,0.3409592785096116,0.07167615228569346,0.003070941558935142,0.34841168236480935
