Time,steering,throttle,x,y,vx,vy,velocity,yaw,yaw_rate,Error
0.03345775604248047,0.13820846881892676,0.16,2.7180718699636284,2.804959760100011,-0.0019122599252519024,0.0023990635493298385,0.003067938059258611,-2.9728105955396145,-9.30551844695189e-05,3.6653199516749337
0.04280805587768555,0.05943788558504304,0.16,2.718137929879305,2.8049880223257095,0.006605991567676384,0.002826222569840553,0.007185169351274027,-2.9726758243316214,0.00013126498608010404,3.665391413442305
0.05278825759887695,0.05931855890463417,0.16,2.7181456566104467,2.8049750754690357,0.0007726731141577403,-0.0012946856673856644,0.0015077250142768355,-2.9724834754755616,0.00020346265276733843,3.6653949685138016
0.06274008750915527,0.05993208216031044,0.16,2.7184636153230346,2.8051830592192664,0.031795871258788466,0.020798375023067806,0.03799407628441072,-2.972556790334839,-0.000122308785439341,3.665760194108966
0.07283830642700195,0.058865686787304555,0.16,2.718681754684311,2.8052682347540365,0.02181393612765703,0.008517553477016548,0.02341786767866232,-2.972135036916738,0.0004037115328535992,3.665993762672703
0.08278965950012207,0.0566407072120135,0.16,2.71827650455982,2.8050975262375575,-0.040525012449110775,-0.01707085164790456,0.043973749100859584,-2.9707401593262306,0.0014418718416103447,3.665556162241944
0.12322497367858887,0.05926180858834699,0.16,2.718585354371882,2.8052588107539562,-0.01833119121634752,-0.005570446670555285,0.01915887385834034,-2.97029428763973,-0.0008461822684464597,3.6658988841652356
0.1257476806640625,0.07350141840900175,0.16,2.718062425647536,2.805046214032571,-0.01833119121634752,-0.005570446670555285,0.01915887385834034,-2.9719737181234893,-0.0008461822684464597,3.6653364817893923
0.13335704803466797,0.05453000767752126,0.16,2.7170945761951075,2.8049124604470026,-0.16879548692547708,-0.048785988941180136,0.17570426609327916,-2.9700226108214487,0.0023731055841538632,3.6643723442867886
0.13630294799804688,0.044856584585027184,0.16,2.7154066213258528,2.804424600557591,-0.16879548692547708,-0.048785988941180136,0.17570426609327916,-2.967651609497366,0.0023731055841538632,3.6626156100047593
0.14278197288513184,0.056201927111014266,0.16,2.713287332701749,2.803783154866696,-0.211928862410371,-0.06414456908947486,0.22142350477360884,-2.966811865116157,0.0006513183274971958,3.660401417424402
0.16322827339172363,0.055469324427887434,0.16,2.710433383977783,2.803192109497348,-0.33504774306201135,-0.06475771349934156,0.3412485188079362,-2.963608540986713,-0.0011800342474119732,3.6575003068826613
0.1661977767944336,0.06665750613508489,0.16,2.707082906547163,2.802544532362355,-0.33504774306201135,-0.06475771349934156,0.3412485188079362,-2.9647471491388697,-0.0011800342474119732,3.65410817775272
0.1728522777557373,0.047820111985781226,0.16,2.7034068383471013,2.8014241797666526,-0.3676068200061611,-0.11203525957022009,0.3843002387483108,-2.961304014825107,0.0033913229386825948,3.6502652129552917
0.18276643753051758,0.06013810133436181,0.16,2.6986368634693183,2.800365847566206,-0.47699748777829676,-0.105833220044671,0.4885972511300387,-2.962085817720478,-0.0007430690307490694,3.6453956418961937
0.1928098201751709,0.04997115963326665,0.16,2.6943827604790975,2.7994700042047884,-0.4254102990220776,-0.08958433614174588,0.4347404694711671,-2.958064871295872,0.004077018807740872,3.6410669584091115
0.20300602912902832,0.058082365367861724,0.16,2.6893099806799072,2.798360662275808,-0.5072779799190297,-0.11093419289802675,0.5192661591753001,-2.958097259437478,-0.00023570988320897562,3.635893127239828
0.2127673625946045,0.05609370416942565,0.16,2.683703154787024,2.7973515447561597,-0.5606825892883194,-0.10091175196484947,0.569691273950786,-2.9571504565394284,0.0009465683394937166,3.630238933900306
0.22283935546875,0.049366300077947664,0.16,2.677413319959258,2.795623988435749,-0.6289834827766239,-0.17275563204104394,0.6522765747807536,-2.953067233523465,0.004125983240803943,3.6237196486724192
0.23285675048828125,0.053206529209636144,0.16,2.670359519333284,2.79397995813426,-0.7053800625973938,-0.16440303014890745,0.7242854333976666,-2.9511089105370525,0.002057939908257119,3.616495465765065
0.24286127090454102,0.05826611954259187,0.16,2.663468260393015,2.7927227611545256,-0.6891258940268763,-0.12571969797345872,0.7004997789270738,-2.9515655328095005,-0.0005487129845638702,3.6095412708801167
0.25281858444213867,0.04751859929829283,0.16,2.655980405385965,2.7910959789009264,-0.7487855007050292,-0.1626782253599135,0.7662531768758497,-2.9470032356031943,0.004598789712281959,3.601907852504029
0.262829065322876,0.05563277710891476,0.16,2.648041121448859,2.7893358971930424,-0.7939283937105746,-0.1760081707883998,0.8132042612555173,-2.9465314341366717,0.0004870510221406339,3.5938038861142543
0.2727642059326172,0.05690487525301581,0.16,2.64004902879268,2.7877977026973046,-0.7992092656178951,-0.1538194495737777,0.8138770627783259,-2.946614186208082,-0.00012376778215839214,3.5857154984938377
0.2828540802001953,0.05130772530528172,0.16,2.6312615158871075,2.7857343042372107,-0.8787512905572559,-0.2063398460093957,0.9026516286515102,-2.944129095215049,0.002538538925313532,3.576711732221386
0.2928807735443115,0.05048825197475826,0.16,2.62263387358201,2.783758779084131,-0.8627642305097716,-0.1975525153079527,0.8850927147771679,-2.941373765133422,0.0027044428582663873,3.567886827891786
0.3028552532196045,0.05477477052039559,0.16,2.613176170544282,2.7818180892891693,-0.945770303772786,-0.19406897949618696,0.9654761707578077,-2.940766590031838,0.000641088166168146,3.55827991476439
0.31288790702819824,0.05361555103539124,0.16,2.6036007267848293,2.7796753135355643,-0.9575443759452629,-0.21427757536049974,0.981226839832043,-2.9396644495294324,0.0010716852709818543,3.548500649405712
