Time,steering,throttle,x,y,vx,vy,velocity,yaw,yaw_rate
0.0007812976837158203,1.0,0.0,-2.849525617773191,0.9994438091191717,0,0,0.0,-0.0032079022545264215,0
0.011908292770385742,0.99995,0.00299995,-2.8495197279136835,0.9994843351565291,0.0005889859507668405,0.004052603735738014,0.004095180275533475,-0.002885542790264624,0.00032184950589562213
0.02099895477294922,0.999800007,0.0059996,-2.8495305459298716,0.9994659230764682,-0.0010818016188185453,-0.001841208006092554,0.0021354956483631018,-0.0031427079366707273,-0.0002578130466550158
0.03132367134094238,0.999550034,0.00899865,-2.8495560702761598,0.9994697762846233,-0.002552434628810829,0.0003853208155102372,0.002581355199351331,-0.003633154003411647,-0.000488111070198457
0.04190397262573242,0.999200107,0.0119968,-2.849439792124253,0.9993852784379804,0.01162781519066236,-0.008449784664288362,0.014373758971857054,-0.0027877682455711515,0.0008441593438458956
0.05105280876159668,0.99875026,0.014993751,-2.849568804919901,0.9994940461070547,-0.012901279564792034,0.010876766907430557,0.01687445029526879,-0.0034159778494414453,-0.0006272876991218431
0.06111335754394531,0.99820054,0.017989202,-2.849255801132758,0.9990582531724258,0.03130037871432734,-0.04357929346289202,0.05365508854139726,-0.00723735110659455,-0.003757057019426222
0.07099008560180664,0.997551,0.020982854,-2.8492555393158843,0.9990254470498683,2.618168735146753e-05,-0.0032806122557516026,0.003280716728603704,-0.007422585764028011,-0.00017856753336955444
0.08110761642456055,0.996801706,0.023974408,-2.849513974847568,0.9994159300191928,-0.025843553168369837,0.039048296932453486,0.046825834041599464,-0.003585171291885236,0.003785569901501139
0.09117245674133301,0.995952733,0.026963565,-2.8495071055290726,0.9994053770118809,0.0006869318495361654,-0.0010553007311897566,0.0012591802885833355,-0.003011175009057198,0.000578110870530364
0.10163211822509766,0.995004165,0.029950025,-2.8495636657396233,0.9994534741444047,-0.005656021055067129,0.004809713252373893,0.007424548184598422,-0.0033989867497932415,-0.0003905358028127932
0.11284661293029785,0.993956098,0.03293349,-2.8495636657396233,0.9994534741444047,-0.005656021055067129,0.004809713252373893,0.007424548184598422,-0.0033989867497932415,-0.0003905358028127932
0.12200069427490234,0.992808636,0.035913662,-2.84956413471747,0.9994522107146265,0.002030701636313026,-0.004707702042860973,0.005127007671154957,-0.003854708628710871,-0.00041526622421965035
0.13225483894348145,0.991561894,0.038890243,-2.84952828753543,0.9994322010692579,0.003584718204008297,-0.002000964536863492,0.0041053701026745205,-0.004243266829974582,-0.00038403313421458204
0.14154696464538574,0.990215996,0.041862934,-2.8495437157852352,0.9993623167778781,-0.0015428249805271577,-0.00698842913797737,0.007156706696314286,-0.004426181656499793,-0.0001895282689794026
0.1512765884399414,0.988771078,0.04483144,-2.8495611643107166,0.9992783267211539,-0.0017448525481356114,-0.008399005672421467,0.008578333561951488,-0.005358158575628758,-0.0009199621912181695
0.16094636917114258,0.987227283,0.047795462,-2.8494526844432144,0.9991382263036787,0.010847986750217586,-0.014010041747525293,0.01771891888068507,-0.0052244671266556755,0.00014843118387797112
0.1711740493774414,0.985584767,0.050754705,-2.8491678249960843,0.9986474848989733,0.028485944713008138,-0.04907414047053971,0.05674257933082369,-0.008822050288175466,-0.003565587593406865
0.18180632591247559,0.983843693,0.053708872,-2.8493634208823617,0.9987607002275692,-0.019559588627737767,0.01132153285959836,0.022599880831041873,-0.010027207662594063,-0.0012006087844019862
0.19122028350830078,0.982004235,0.056657668,-2.849629420699834,0.9990743077945066,-0.026599981747210677,0.031360756693732394,0.04112245237525873,-0.0058600804752704716,0.00412372636552669
0.20293760299682617,0.980066578,0.059600799,-2.8495897558974645,0.9990398709101355,0.003966480236927694,-0.0034436884371102927,0.005252804538703597,-0.006673849155346356,-0.000814688642167393
0.2111341953277588,0.978030915,0.06253797,-2.8496432917071313,0.9991181194661326,-0.0053535809666716005,0.00782485559971402,0.009480991209946579,-0.006586304528105913,9.172275104430631e-05
0.221405029296875,0.975897449,0.065468887,-2.849612745237461,0.9990642255387585,0.0030546469670156284,-0.005389392737409349,0.0061948706339308175,-0.006811981103742097,-0.00021789341653089136
0.23180675506591797,0.973666395,0.068393257,-2.8495346101004926,0.9990496128801739,0.00781351369685268,-0.0014612658584600702,0.007948980701952012,-0.006210456582510952,0.0005992883225617441
0.2418522834777832,0.971337975,0.071310788,-2.849636902470421,0.9990255471051729,-0.010229236992831403,-0.002406577500102536,0.010508515819063613,-0.006924114325855527,-0.0007251506005009096
0.25258946418762207,0.968912422,0.074221188,-2.849666360360774,0.9991020348029963,-0.0029457890353246086,0.007648769782342413,0.008196423135972977,-0.0067275948037668724,0.00020410894502302405
0.2614274024963379,0.966389978,0.077124166,-2.8495463060804824,0.9989845956288872,0.012005428029171483,-0.011743917410911298,0.016794341258826492,-0.006356018029447979,0.00035960280682589135
0.2719461917877197,0.963770896,0.080019431,-2.8496154810178917,0.999033175448308,-0.006917493740932201,0.004857981942085754,0.008452911226640646,-0.006540413321649527,-0.00018550895297807972
0.28362512588500977,0.961055438,0.082906695,-2.8477448338060753,0.9977646469198113,0.18706472118164008,-0.1268528528496793,0.226019592484517,-0.008674778041405592,-0.0017523994900868244
0.2929201126098633,0.958243876,0.085785668,-2.849519982621666,0.9990437128638139,-0.17751488155908213,0.1279065944002622,0.21879586391430744,-0.006377759726569631,0.0026990748750235338
0.3079657554626465,0.955336489,0.088656062,-2.849519982621666,0.9990437128638139,-0.17751488155908213,0.1279065944002622,0.21879586391430744,-0.006377759726569631,0.0026990748750235338
