Time (s),u,delta,,Params
1.53,0.172351683,0.121482029,,
1.54,0.173332502,0.120526582,,
1.55,0.174310548,0.119566796,,
1.56,0.175285805,0.118602706,,
1.57,0.176258258,0.117634346,,
1.58,0.17722789,0.116661751,,
1.59,0.178194687,0.115684957,,
1.6,0.179158632,0.114703997,,
1.61,0.180119711,0.113718909,,
1.62,0.181077909,0.112729726,,
1.63,0.182033209,0.111736485,,
1.64,0.182985596,0.110739222,,
1.65,0.183935056,0.109737972,,
1.66,0.184881572,0.108732772,,
1.67,0.185825131,0.107723657,,
1.68,0.186765716,0.106710664,,
1.69,0.187703313,0.10569383,,
1.7,0.188637907,0.10467319,,
1.71,0.189569483,0.103648783,,
1.72,0.190498025,0.102620644,,
1.73,0.19142352,0.10158881,,
1.74,0.192345952,0.10055332,,
1.75,0.193265306,0.09951421,,
1.76,0.194181568,0.098471517,,
1.77,0.195094723,0.097425279,,
1.78,0.196004757,0.096375534,,
1.79,0.196911655,0.095322319,,
1.8,0.197815402,0.094265673,,
1.81,0.198715984,0.093205633,,
1.82,0.199613386,0.092142238,,
1.83,0.200507595,0.091075526,,
1.84,0.201398595,0.090005535,,
1.85,0.202286373,0.088932303,,
1.86,0.203170915,0.087855871,,
1.87,0.204052206,0.086776275,,
1.88,0.204930232,0.085693556,,
1.89,0.205804979,0.084607751,,
1.9,0.206676434,0.083518901,,
1.91,0.207544581,0.082427044,,
1.92,0.208409408,0.081332219,,
1.93,0.2092709,0.080234467,,
1.94,0.210129044,0.079133826,,
1.95,0.210983826,0.078030337,,
1.96,0.211835232,0.076924038,,
1.97,0.212683249,0.07581497,,
1.98,0.213527862,0.074703173,,
1.99,0.21436906,0.073588687,,
2,0.215206827,0.072471551,,
2.01,0.216041151,0.071351806,,
2.02,0.216872019,0.070229493,,
2.03,0.217699417,0.069104651,,
2.04,0.218523331,0.067977322,,
2.05,0.219343749,0.066847545,,
2.06,0.220160657,0.065715362,,
2.07,0.220974043,0.064580814,,
2.08,0.221783894,0.06344394,,
2.09,0.222590196,0.062304782,,
2.1,0.223392936,0.061163382,,
2.11,0.224192102,0.060019779,,
2.12,0.224987681,0.058874016,,
2.13,0.22577966,0.057726133,,
2.14,0.226568027,0.056576173,,
2.15,0.227352769,0.055424175,,
2.16,0.228133873,0.054270182,,
2.17,0.228911327,0.053114236,,
2.18,0.229685118,0.051956377,,
2.19,0.230455235,0.050796648,,
2.2,0.231221664,0.04963509,,
2.21,0.231984393,0.048471746,,
2.22,0.232743411,0.047306656,,
