Time,x,y,z,yaw,yaw_rate,vx,vy,vz,velocity
1749590493.3622658,-3.209614897142221,1.9759560710700257,0.05873080543117972,0.05308659869330285,0.00011249673987341918,0.0012290094014932862,0.00015592971003286493,0.0015424566583537025,0.0012388616482197756
1749590493.3633482,-3.209614897142221,1.9759560710700257,0.05873080543117972,0.05308659869330285,-4.9251313808784635e-05,0.001207400385361268,0.0010937223220208736,-0.0026205550483549,0.001629123754739728
1749590493.3718812,-3.209614897142221,1.9759560710700257,0.05873080543117972,0.05308659869330285,-4.564972996107947e-05,-0.0004224039626077314,-0.001960304926984513,0.0032143120223475374,0.0020052981111013074
1749590493.3819401,-3.2095895521193114,1.9759268368973248,0.05873249867914417,0.05298860383190913,9.916426991116689e-05,-0.00067599266007079,0.0008875624783133418,0.0010301853783485637,0.0011156761310431016
1749590493.3918018,-3.209596312045912,1.975935712522108,0.05874280053292766,0.053090563481591704,-8.859924869507099e-05,0.0022225335966741255,-0.0019071975301487853,-0.006818818036893187,0.0029286614702540904
1749590493.4093359,-3.2095740867099454,1.9759166405468065,0.058674612352558726,0.05299935188085022,1.626326082665935e-05,-0.0013458389470866194,0.0032354325311567678,0.0005872419608983492,0.0035041840897936157
1749590493.4124424,-3.2095740867099454,1.9759166405468065,0.058674612352558726,0.05299935188085022,-0.0001975884460819893,-0.003142246086840217,-0.00013876277074054144,0.0012831977542787643,0.0031453085026442555
1749590493.4230814,-3.2095655981301854,1.9759516166126991,0.058693073465149515,0.05315512838099133,0.0003385961352831067,0.005336943009925932,0.0004009368288482307,-2.4328456098288154e-05,0.005351981972309337
1749590493.4317484,-3.2095655981301854,1.9759516166126991,0.058693073465149515,0.05315512838099133,-0.0004657728874222365,0.027569154914175442,0.0039026236319239516,0.008486623937326021,0.027844007863349257
1749590493.4534993,-3.2057549271008723,1.97626966922483,0.05921578914875055,0.053813590633687396,-0.00047256533910535413,0.1399177056319978,0.0051107290679697215,0.009655849490462082,0.14001101349868367
1749590493.455621,-3.2057549271008723,1.97626966922483,0.05921578914875055,0.053813590633687396,0.0016613590169486105,0.2135802423851363,0.02279190851319779,0.034129094932315585,0.21479290265501685
1749590493.4622216,-3.202895529375623,1.9760349662055834,0.05908379611126858,0.05017670511574024,-0.003724092273663414,0.28593977252491243,-0.02347030192466626,-0.013199303748197277,0.28690139174293605
1749590493.4721255,-3.1993631001668694,1.9762124802169645,0.05932437480763153,0.04896577362438112,-0.0012064361567468444,0.353242920875374,0.0177514011381108,0.024057869636295165,0.3536886673204725
1749590493.4926782,-3.1898127855685794,1.9761141436920389,0.059249197239702685,0.048861292486826094,-0.0004909841294008815,0.4382872798450954,-0.0043759520512276495,0.007002256692374698,0.4383091245118765
1749590493.495731,-3.1898127855685794,1.9761141436920389,0.059249197239702685,0.048861292486826094,0.0003654750817118437,0.5167441799839079,-0.0054577004413358665,-0.014520013485259248,0.5167730004957193
1749590493.5023296,-3.1844772571678797,1.976483552005786,0.059486624684161375,0.05105245952664799,0.0022800403820396335,0.533552840069973,0.03694083137470994,0.023742744445869046,0.5348301208509005
1749590493.5121927,-3.1785441025636976,1.9763859985461874,0.059639794972768834,0.04704757834520268,-0.0040993312079058665,0.5933154604182089,-0.00975534595986094,0.015317028860745846,0.5933956541348006
1749590493.522104,-3.171709494420471,1.9767460150538894,0.05981991642853718,0.04970579617664884,0.0027588410632727518,0.683460814322645,0.03600165077020101,0.018012145576834504,0.6844083602446368
1749590493.5320807,-3.164273135569049,1.9767814255545209,0.05980850731184644,0.04758449390015586,-0.0021992848453671293,0.7436358851422131,0.00354105006314942,-0.0011409116690737353,0.7436443159917195
1749590493.5421484,-3.156405375207547,1.97728104575368,0.060017358687619184,0.04859550960968864,0.0011029892302584286,0.786776036150183,0.049962019915916756,0.020885137577274226,0.7883607895464313
1749590493.5522318,-3.148055581038061,1.9774022828641873,0.06003964799095353,0.04630661955391398,-0.0023834704818414707,0.8349794169486113,0.012123711050726627,0.002228930333434548,0.8350674290723381
1749590493.5621943,-3.1392868774162523,1.9779986118870734,0.05992442992711619,0.04668168094538262,0.0005188395191752697,0.8768703621808704,0.05963290228860885,-0.011521806383733846,0.8788957361977436
1749590493.5722358,-3.129230056220761,1.978129296788197,0.06013562746887986,0.04626793075392958,-0.0005631495293425283,1.0056821195491228,0.013068490112355668,0.02111975417636719,1.0057670262116534
1749590493.5823371,-3.1192570056624445,1.9787089246808156,0.060354569979132196,0.047459562387688364,0.0012513453137663686,0.9973050558316654,0.057962789261867265,0.02189425102523332,0.9989880176090287
1749590493.592239,-3.1087934463082676,1.9790528882942737,0.06015022987255112,0.046699767495948744,-0.0007662039701949262,1.0463559354176866,0.03439636134581203,-0.02043401065810746,1.0469211303902761
1749590493.6127803,-3.085981704802122,1.9796857057991903,0.060351267624935145,0.045266312189481364,0.0008535384516139665,1.1089818221198033,0.044306529844573284,0.014311560817622387,1.1098665462023023
1749590493.6152098,-3.085981704802122,1.9796857057991903,0.060351267624935145,0.045266312189481364,-0.002295257996908482,1.17219232849477,0.018975220647088342,0.00579221442078004,1.1723459020189375
1749590493.632163,-3.0734766802190845,1.9800606587778793,0.060337041270954656,0.04721912775847179,0.002006228268355884,1.2505024583037372,0.03749529786889472,-0.001422635398048988,1.2510644650000924
1749590493.6428747,-3.047982962839379,1.981458122605174,0.06100369039801285,0.04974776905042464,0.002100080897706861,1.243580526212762,0.08304083004946339,0.039382889260527326,1.2463499928314332
