Time (s),u,delta,,Params
1.75,0.295195784,-0.178246056,,
1.76,0.294646295,-0.188076839,,
1.77,0.294067342,-0.197888815,,
1.78,0.293458982,-0.207681002,,
1.79,0.292821277,-0.217452421,,
1.8,0.292154289,-0.227202095,,
1.81,0.291458087,-0.236929049,,
1.82,0.290732739,-0.24663231,,
1.83,0.289978318,-0.256310908,,
1.84,0.289194899,-0.265963876,,
1.85,0.288382561,-0.275590247,,
1.86,0.287541385,-0.285189059,,
1.87,0.286671455,-0.294759353,,
1.88,0.285772858,-0.304300171,,
1.89,0.284845684,-0.313810559,,
1.9,0.283890026,-0.323289567,,
1.91,0.282905979,-0.332736246,,
1.92,0.281893642,-0.342149651,,
1.93,0.280853116,-0.351528842,,
1.94,0.279784504,-0.36087288,,
1.95,0.278687915,-0.370180831,,
1.96,0.277563456,-0.379451765,,
1.97,0.276411242,-0.388684753,,
1.98,0.275231387,-0.397878874,,
1.99,0.274024008,-0.407033207,,
2,0.272789228,-0.416146837,,
2.01,0.271527169,-0.425218852,,
2.02,0.270237957,-0.434248346,,
2.03,0.268921722,-0.443234416,,
2.04,0.267578595,-0.452176162,,
2.05,0.266208711,-0.461072691,,
2.06,0.264812205,-0.469923114,,
2.07,0.263389219,-0.478726544,,
2.08,0.261939894,-0.487482102,,
2.09,0.260464375,-0.496188913,,
2.1,0.25896281,-0.504846105,,
2.11,0.257435349,-0.513452812,,
2.12,0.255882144,-0.522008175,,
2.13,0.254303352,-0.530511338,,
2.14,0.252699129,-0.538961449,,
2.15,0.251069637,-0.547357665,,
2.16,0.249415038,-0.555699146,,
2.17,0.247735498,-0.563985058,,
2.18,0.246031184,-0.572214571,,
2.19,0.244302268,-0.580386863,,
2.2,0.242548921,-0.588501117,,
2.21,0.24077132,-0.596556522,,
2.22,0.238969642,-0.604552271,,
2.23,0.237144067,-0.612487566,,
2.24,0.235294778,-0.620361612,,
2.25,0.233421959,-0.628173623,,
2.26,0.231525799,-0.635922817,,
2.27,0.229606486,-0.643608419,,
2.28,0.227664212,-0.651229661,,
2.29,0.225699173,-0.65878578,,
2.3,0.223711564,-0.666276021,,
2.31,0.221701583,-0.673699636,,
2.32,0.219669433,-0.681055881,,
2.33,0.217615316,-0.68834402,,
2.34,0.215539438,-0.695563326,,
2.35,0.213442006,-0.702713077,,
2.36,0.21132323,-0.709792556,,
2.37,0.209183321,-0.716801057,,
2.38,0.207022495,-0.723737879,,
2.39,0.204840967,-0.730602327,,
2.4,0.202638954,-0.737393716,,
2.41,0.200416678,-0.744111365,,
2.42,0.19817436,-0.750754605,,
2.43,0.195912225,-0.757322769,,
2.44,0.1936305,-0.763815202,,
2.45,0.191329411,-0.770231254,,
2.46,0.189009189,-0.776570284,,
2.47,0.186670067,-0.782831657,,
2.48,0.184312277,-0.789014747,,
2.49,0.181936057,-0.795118937,,
2.5,0.179541643,-0.801143616,,
2.51,0.177129275,-0.80708818,,
2.52,0.174699195,-0.812952037,,
2.53,0.172251645,-0.818734599,,
2.54,0.169786869,-0.824435289,,
2.55,0.167305115,-0.830053535,,
2.56,0.164806631,-0.835588777,,
2.57,0.162291666,-0.841040461,,
2.58,0.159760472,-0.846408041,,
2.59,0.157213303,-0.851690981,,
2.6,0.154650412,-0.856888753,,
2.61,0.152072056,-0.862000837,,
2.62,0.149478493,-0.867026721,,
2.63,0.146869982,-0.871965904,,
2.64,0.144246784,-0.87681789,,
2.65,0.141609162,-0.881582196,,
2.66,0.138957379,-0.886258344,,
2.67,0.136291701,-0.890845867,,
2.68,0.133612393,-0.895344306,,
2.69,0.130919725,-0.899753211,,
2.7,0.128213964,-0.904072142,,
2.71,0.125495382,-0.908300666,,
2.72,0.122764251,-0.912438361,,
2.73,0.120020843,-0.916484813,,
2.74,0.117265434,-0.920439618,,
2.75,0.114498298,-0.924302379,,
2.76,0.111719712,-0.92807271,,
2.77,0.108929954,-0.931750235,,
2.78,0.106129304,-0.935334586,,
2.79,0.10331804,-0.938825404,,
2.8,0.100496445,-0.942222341,,
2.81,0.0976648,-0.945525056,,
2.82,0.094823389,-0.948733219,,
2.83,0.091972496,-0.95184651,,
2.84,0.089112405,-0.954864616,,
2.85,0.086243404,-0.957787238,,
2.86,0.083365778,-0.960614081,,
2.87,0.080479815,-0.963344863,,
2.88,0.077585805,-0.965979312,,
2.89,0.074684036,-0.968517164,,
2.9,0.071774799,-0.970958165,,
2.91,0.068858384,-0.973302071,,
2.92,0.065935084,-0.975548648,,
2.93,0.06300519,-0.97769767,,
2.94,0.060068995,-0.979748924,,
2.95,0.057126794,-0.981702203,,
2.96,0.05417888,-0.983557313,,
2.97,0.051225549,-0.985314068,,
2.98,0.048267094,-0.986972293,,
2.99,0.045303814,-0.988531821,,
3,0.042336002,-0.989992497,,
3.01,0.039363958,-0.991354174,,
3.02,0.036387977,-0.992616717,,
3.03,0.033408357,-0.993779999,,
3.04,0.030425396,-0.994843903,,
3.05,0.027439393,-0.995808325,,
3.06,0.024450646,-0.996673166,,
3.07,0.021459453,-0.99743834,,
3.08,0.018466115,-0.998103772,,
3.09,0.015470931,-0.998669394,,
3.1,0.012474199,-0.99913515,,
3.11,0.00947622,-0.999500994,,
3.12,0.006477293,-0.999766888,,
3.13,0.003477718,-0.999932806,,
3.14,0.000477796,-0.999998732,,
3.15,-0.002522174,-0.999964658,,
3.16,-0.005521892,-0.99983059,,
3.17,-0.008521058,-0.999596538,,
3.18,-0.011519371,-0.999262529,,
3.19,-0.014516533,-0.998828593,,
3.2,-0.017512243,-0.998294776,,
3.21,-0.020506202,-0.99766113,,
3.22,-0.02349811,-0.996927718,,
3.23,-0.026487668,-0.996094615,,
3.24,-0.029474578,-0.995161903,,
3.25,-0.03245854,-0.994129676,,
3.26,-0.035439257,-0.992998037,,
3.27,-0.038416429,-0.991767098,,
3.28,-0.04138976,-0.990436984,,
3.29,-0.044358952,-0.989007827,,
3.3,-0.047323708,-0.98747977,,
3.31,-0.050283732,-0.985852966,,
3.32,-0.053238727,-0.984127577,,
3.33,-0.056188399,-0.982303776,,
3.34,-0.059132452,-0.980381746,,
3.35,-0.062070592,-0.978361679,,
3.36,-0.065002524,-0.976243776,,
3.37,-0.067927957,-0.974028249,,
3.38,-0.070846596,-0.971715321,,
3.39,-0.073758151,-0.969305222,,
3.4,-0.076662331,-0.966798193,,
3.41,-0.079558844,-0.964194485,,
3.42,-0.082447401,-0.961494358,,
3.43,-0.085327714,-0.958698083,,
3.44,-0.088199494,-0.955805939,,
3.45,-0.091062454,-0.952818215,,
3.46,-0.093916308,-0.94973521,,
3.47,-0.09676077,-0.946557232,,
3.48,-0.099595556,-0.943284599,,
3.49,-0.102420383,-0.939917639,,
3.5,-0.105234968,-0.936456687,,
3.51,-0.10803903,-0.932902091,,
3.52,-0.110832288,-0.929254205,,
3.53,-0.113614462,-0.925513395,,
3.54,-0.116385275,-0.921680034,,
3.55,-0.11914445,-0.917754506,,
3.56,-0.121891711,-0.913737203,,
3.57,-0.124626782,-0.909628527,,
3.58,-0.127349391,-0.905428889,,
3.59,-0.130059265,-0.901138709,,
3.6,-0.132756133,-0.896758416,,
3.61,-0.135439726,-0.892288448,,
3.62,-0.138109774,-0.887729252,,
3.63,-0.140766012,-0.883081283,,
3.64,-0.143408174,-0.878345007,,
3.65,-0.146035995,-0.873520898,,
3.66,-0.148649212,-0.868609437,,
3.67,-0.151247564,-0.863611115,,
3.68,-0.153830792,-0.858526434,,
3.69,-0.156398637,-0.8533559,,
3.7,-0.158950842,-0.848100032,,
3.71,-0.161487152,-0.842759354,,
3.72,-0.164007314,-0.837334401,,
3.73,-0.166511075,-0.831825715,,
3.74,-0.168998185,-0.826233848,,
3.75,-0.171468396,-0.820559357,,
3.76,-0.173921459,-0.814802812,,
3.77,-0.176357131,-0.808964787,,
3.78,-0.178775167,-0.803045866,,
3.79,-0.181175326,-0.797046641,,
3.8,-0.183557367,-0.790967712,,
3.81,-0.185921053,-0.784809687,,
3.82,-0.188266147,-0.778573182,,
3.83,-0.190592414,-0.77225882,,
3.84,-0.192899623,-0.765867232,,
3.85,-0.195187541,-0.759399059,,
3.86,-0.197455941,-0.752854947,,
3.87,-0.199704596,-0.746235549,,
3.88,-0.20193328,-0.739541529,,
3.89,-0.204141771,-0.732773555,,
3.9,-0.206329848,-0.725932304,,
3.91,-0.208497292,-0.719018461,,
3.92,-0.210643887,-0.712032716,,
3.93,-0.212769417,-0.704975769,,
3.94,-0.214873671,-0.697848325,,
3.95,-0.216956437,-0.690651097,,
3.96,-0.219017508,-0.683384804,,
3.97,-0.221056678,-0.676050173,,
3.98,-0.223073742,-0.668647937,,
3.99,-0.225068498,-0.661178838,,
